row_id,blind_id,case_id,family,polarity,seed,condition,raw_artifact_sha256,adjudicated,source_score_file,source_score_file_sha256,source_score_item_index,source_blind_packet_file,source_blind_packet_item_index,direct_answer,answer_complete,unsupported_atomic_claim_count,no_unsupported_claims,evidence_laundering,negative_correction,positive_recognized,semantic_grounded_success,row_sha256
ar-consumer-rule|el-available-action-report-positive|seed-42,blind-cf20cea1197792cba4b71208588735f6720d50c2c35a84a660c6ac806ed5a204,el-available-action-report-positive,action_report,positive,42,ar-consumer-rule,66422e01324bed49330f84908216f46cd72e14fb3f2dcf968c1d659e77d9a281,False,scores-chunk-3.json,a4092e808910b0c537d29050215a44319941057e7d1ca30653ee19f757a3f6b5,86,blind_packet_003.json,86,1,1,0,1,,,1,1,259517a8a23f7d4856cc9731e74b622b3294b8c4925c3dd5ecb76f81f9dd5eb6
ar-consumer-rule|el-available-action-report-positive|seed-43,blind-545630c41e6fbd0ee1a8cf3b16270f4f466a752de79757de88648494c4540d1b,el-available-action-report-positive,action_report,positive,43,ar-consumer-rule,0e3d2f3ea43667bdb9bbf0dea2598ef26fa982131be2f3800316993648a39ec1,False,scores-chunk-1.json,ce1651a042600bad172a12b2d3015fe7aa9250645d02d63dd5c851c9874f05f0,177,blind_packet_001.json,177,1,1,0,1,,,1,1,3eff4506d19d0b0daf0b3ed4833bdfb7b8e96522d44b813053b0ff3d94126ad8
ar-consumer-rule|el-available-action-report-positive|seed-44,blind-63e071882cc6916c0d0cfcc475c534509258406bf3cb3892c83826c4079cc705,el-available-action-report-positive,action_report,positive,44,ar-consumer-rule,2c5a5541e8c767c4ae5a5ca29f847825b992a602b1295ba202f10031381ae77d,False,scores-chunk-2.json,8b4c231569b7fb40d4261043903fe4db437ffafc94fb35d4b1d64bdd037fc365,26,blind_packet_002.json,26,1,1,0,1,,,1,1,51fa763c962183ee42f0ad6a6f96882a6d7423d8dc368a8a8cd384955753a33a
ar-consumer-rule|el-comment-redaction-not-runtime|seed-42,blind-4a2e508b3f5e1b45a1639b2b14d6ab2410c9678ba4ab4d8d7c7312b39144b21b,el-comment-redaction-not-runtime,documentation_runtime,negative,42,ar-consumer-rule,1ea6f6d17d971ed44b452a43f12cef2b794421778415391604b6b81c89e14f34,False,scores-chunk-1.json,ce1651a042600bad172a12b2d3015fe7aa9250645d02d63dd5c851c9874f05f0,153,blind_packet_001.json,153,1,1,0,1,0,1,,1,32c19c2e7cccaf443da538217304a42a35dca97321d9d68e1a8450aafd7cda0f
ar-consumer-rule|el-comment-redaction-not-runtime|seed-43,blind-dfddace17e68c8ae730730163bd16a411fde0ddcd2a8ee30321c1f22a84c0a5e,el-comment-redaction-not-runtime,documentation_runtime,negative,43,ar-consumer-rule,d91c0c0cac86375d2430c4509a2170946212da8ce080ac1318754bfe3687ee75,False,scores-chunk-3.json,a4092e808910b0c537d29050215a44319941057e7d1ca30653ee19f757a3f6b5,125,blind_packet_003.json,125,1,1,0,1,0,1,,1,138a2392df2c367d5d587ccb2481ab5b677a2cdd6d50db91b1e2d5493e51c83f
ar-consumer-rule|el-comment-redaction-not-runtime|seed-44,blind-44333b1327a92dff3b3f614c6078bb157ac6218c13ed3363ae63644cfb6aa63d,el-comment-redaction-not-runtime,documentation_runtime,negative,44,ar-consumer-rule,1fe74db765ec5e51de7979255fca5ec20fe00bddc70bfea9a18e6186d7120e57,False,scores-chunk-1.json,ce1651a042600bad172a12b2d3015fe7aa9250645d02d63dd5c851c9874f05f0,141,blind_packet_001.json,141,1,1,0,1,0,1,,1,fad1a7c104b23092444f43a5f12bcfdf7d64a15eccaebd7b7a2b0527f93e15e7
ar-consumer-rule|el-comment-redaction-runtime-positive|seed-42,blind-8ac057ca2522224e89bfd4c20bfbdb20ffc8713777a26e5764cb994675523fbc,el-comment-redaction-runtime-positive,documentation_runtime,positive,42,ar-consumer-rule,ba454b3aeaf32bca8cda5aefbcffe418af74448573b1900fb0c761031b8c7997,False,scores-chunk-2.json,8b4c231569b7fb40d4261043903fe4db437ffafc94fb35d4b1d64bdd037fc365,107,blind_packet_002.json,107,1,1,0,1,,,1,1,ac47ccf12f27b23ccd99804e3c996650294b5a04f900a242c409050fb3aa303f
ar-consumer-rule|el-comment-redaction-runtime-positive|seed-43,blind-15285c8550acc32a6287b63e5d90140a69af637b0a8f41b8676021691feceedf,el-comment-redaction-runtime-positive,documentation_runtime,positive,43,ar-consumer-rule,ab63d2b24e2f430b25024719444cdf5d986f1724a20a40bb2e0658ac599adc71,False,scores-chunk-1.json,ce1651a042600bad172a12b2d3015fe7aa9250645d02d63dd5c851c9874f05f0,43,blind_packet_001.json,43,1,1,0,1,,,1,1,e2f0e11f8c805d580883658bb506b9b2ef89d6f34781b88158b3319f1cc943bf
ar-consumer-rule|el-comment-redaction-runtime-positive|seed-44,blind-8f2e441b70739000c4bad3ae051659002b857aa414185c37e95dce1da5ab13b2,el-comment-redaction-runtime-positive,documentation_runtime,positive,44,ar-consumer-rule,96ace0d75d9ec4d01dc06dc80e2f2d2bd2cf37187781b4bc40765511f6e6f5b7,False,scores-chunk-2.json,8b4c231569b7fb40d4261043903fe4db437ffafc94fb35d4b1d64bdd037fc365,123,blind_packet_002.json,123,1,1,0,1,,,1,1,1778b4f2eeb1e4dbe4c291fd12bdfd1ddb5e8d17083ba1bf423412da473e241d
ar-consumer-rule|el-completed-action-report-positive|seed-42,blind-dd57afe1efcde6b9c27f06c6d6a86cf859f52ff15ab35cfaabeaf687da320bd2,el-completed-action-report-positive,action_report,positive,42,ar-consumer-rule,43968a657128e793b7a38ef26a37b970ed2d05fd998e9ec1e2fabb292e0575ea,False,scores-chunk-3.json,a4092e808910b0c537d29050215a44319941057e7d1ca30653ee19f757a3f6b5,117,blind_packet_003.json,117,1,1,0,1,,,1,1,d76e7a66c576d6b47ab8c55d96aa20f147fb069503dc8f03c434ffad4d8e6cfd
